     5.400     4.000     2.769     0.233  39
     5.600     4.000     2.769     0.233  39
     3.600     4.000     2.769     0.233  39
     4.700     6.000     2.769     0.233  39
     5.700     4.000     2.769     0.233  39
     4.800     4.000     2.769     0.233  39
     6.400     7.000     2.769     0.233  39
     4.900     5.000     2.769     0.233  39
     5.300     5.000     2.769     0.233  39
     5.500     5.000     2.769     0.233  39
     3.900     6.000     2.769     0.233  39
     5.100     5.000     2.769     0.233  39
     4.800     4.000     2.769     0.233  39
     4.600     3.000     2.769     0.233  39
     5.200     4.000     2.769     0.233  39
     6.000     6.000     2.769     0.233  39
     4.000     5.000     2.981     0.233  94
     5.600     5.000     2.981     0.233  94
     6.000     4.000     2.981     0.233  94
     6.600     5.000     2.981     0.233  94
     6.300     6.000     2.981     0.233  94
     5.700     6.000     2.981     0.233  94
     6.100     6.000     2.981     0.233  94
     5.300     6.000     2.981     0.233  94
     5.700     5.000     2.981     0.233  94
     4.900     5.000     2.981     0.233  94
     4.100     2.000     2.981     0.233  94
     4.000     5.000     2.981     0.233  94
     6.000     7.000     2.981     0.233  94
     3.900     3.000     2.981     0.233  94
     4.700     4.000     2.981     0.233  94
     7.200     4.000     2.981     0.233  94
     4.200     5.000     2.060     0.227  16
     5.600     6.000     2.060     0.227  16
     4.500     5.000     2.060     0.227  16
     6.300     7.000     2.060     0.227  16
     5.100     5.000     2.060     0.227  16
     2.800     5.000     2.060     0.227  16
     6.300     6.000     2.060     0.227  16
     3.100     8.000     2.060     0.227  16
     5.400     5.000     2.060     0.227  16
     4.700     6.000     2.060     0.227  16
     6.500     8.000     2.060     0.227  16
     4.500     6.000     2.060     0.227  16
     6.800     7.000     2.060     0.227  16
     2.900     5.000     2.060     0.227  16
     5.100     4.000     2.060     0.227  16
     4.200     6.000     2.060     0.227  16
     5.100     6.000     2.060     0.227  16
     5.900     4.000     3.713     0.227  29
     3.800     4.000     3.713     0.227  29
     5.200     5.000     3.713     0.227  29
     6.100     7.000     3.713     0.227  29
     5.500     4.000     3.713     0.227  29
     7.200     4.000     3.713     0.227  29
     6.200     6.000     3.713     0.227  29
     7.100     5.000     3.713     0.227  29
     6.000     4.000     3.713     0.227  29
     6.000     5.000     3.713     0.227  29
     5.200     3.000     3.713     0.227  29
     6.600     3.000     3.713     0.227  29
     5.700     5.000     3.713     0.227  29
     6.900     5.000     3.713     0.227  29
     6.600     5.000     3.713     0.227  29
     5.700     3.000     3.713     0.227  29
     4.700     2.000     3.713     0.227  29
     3.300     6.000     1.729     0.227  30
     2.600     5.000     1.729     0.227  30
     5.300     5.000     1.729     0.227  30
     4.000     7.000     1.729     0.227  30
     4.700     5.000     1.729     0.227  30
     5.200     6.000     1.729     0.227  30
     3.500     6.000     1.729     0.227  30
     6.500     8.000     1.729     0.227  30
     3.900     5.000     1.729     0.227  30
     4.900     5.000     1.729     0.227  30
     3.600     6.000     1.729     0.227  30
     4.300     5.000     1.729     0.227  30
     3.500     4.000     1.729     0.227  30
     4.000     5.000     1.729     0.227  30
     7.100     8.000     1.729     0.227  30
     6.100     6.000     1.729     0.227  30
     4.600     8.000     1.729     0.227  30
     3.500     5.000     2.202     0.227  38
     3.500     5.000     2.202     0.227  38
     4.900     5.000     2.202     0.227  38
